     x  y
 -4.96  25170.60
 -4.90  23252.20
 -4.85  21749.19
 -4.76  19240.32
 -4.68  17215.49
 -4.62  15818.48
 -4.48  12913.64
 -4.34  10461.87
 -4.27  9388.21
 -4.15  7758.66
 -4.09  7034.79
 -3.93  5370.71
 -3.83  4508.07
 -3.78  4118.18
 -3.38  1884.32
 -3.37  1846.05
 -3.36  1807.14
 -3.27  1485.73
 -3.12  1055.13
 -2.93  656.67
 -2.91  622.59
 -2.84  514.12
 -2.70  341.85
 -2.53  196.56
 -2.29   72.12
 -2.22   50.46
 -2.15   30.90
 -1.91   -3.29
 -1.90   -3.98
 -1.88   -5.20
 -1.77  -10.11
 -1.72  -12.02
 -1.60  -13.07
 -1.58  -15.23
 -1.52  -13.06
 -1.46  -13.79
 -1.23   -7.51
 -1.21   -6.31
 -1.11   -6.10
 -0.95   -3.31
 -0.86   -2.11
 -0.84   -1.01
 -0.81   -1.94
 -0.74   -0.09
 -0.64    0.64
 -0.39    3.17
 -0.32    4.58
 -0.27    3.84
 -0.24    3.17
 -0.19    3.67
  0.08    4.09
  0.20    4.65
  0.32    6.77
  0.45    9.95
  0.52   10.76
  0.68   14.33
  0.69   12.94
  0.76   14.40
  0.80   17.15
  1.03   30.59
  1.13   40.66
  1.24   54.88
  1.44   94.03
  1.58  136.14
  1.64  159.73
  1.68  177.95
  1.73  204.14
  1.78  230.59
  1.83  259.77
  1.85  274.72
  1.96  359.42
  2.00  396.70
  2.01  404.19
  2.10  499.89
  2.59  1443.94
  2.71  1829.60
  2.75  1975.93
  2.77  2050.86
  2.82  2255.92
  2.91  2667.54
  2.94  2818.04
  3.38  5988.71
  3.40  6185.40
  3.59  8337.41
  3.64  8997.20
  3.72  10146.93
  3.75  10608.06
  3.83  11924.19
  4.04  16050.24
  4.16  18902.04
  4.18  19419.14
  4.30  22754.95
  4.49  29017.94
  4.63  34503.66
  4.64  34925.94
  4.76  40348.63
  4.93  49224.70
  4.96  50947.19
  4.98  52124.55
  5.00  53322.89
